Cancer site,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
Lip oral cavity and pharynx,0.1,0.2,0.19,0.65,1.2,1.3,2.2,3.9,7.8,13.2,20.6,22.8,24.1,20.9,20.3,19.7,27.0
Oesophagus,0.0,0.0,0.0,0.0,0.0,0.07,0.21,0.35,1.3,3.4,5.9,9.4,9.1,11.7,11.1,17.8,23.0
Stomach,0.0,0.0,0.1,0.28,0.42,0.97,1.9,4.1,5.2,6.3,9.6,12.3,18.7,25.5,36.8,47.5,60.9
Colorectum,0.2,0.69,0.87,1.0,2.9,2.9,5.5,13.7,22.9,41.7,63.0,87.5,125.9,157.4,210.8,262.1,283.9
Colon,0.2,0.59,0.87,1.0,1.8,1.9,3.2,8.2,13.1,21.7,34.3,52.3,75.1,103.9,143.5,189.2,198.2
Rectum and anus,0.0,0.1,0.0,0.0,1.0,1.0,2.4,5.5,9.8,20.0,28.7,35.2,50.8,53.5,67.3,72.9,85.8
Liver,0.0,0.1,0.29,0.19,0.08,0.37,0.42,0.98,1.9,4.6,5.5,8.1,13.8,19.3,25.3,22.5,21.2
Gallbladder etc.,0.0,0.0,0.0,0.09,0.0,0.07,0.14,0.42,1.0,2.2,4.6,5.7,11.4,17.2,24.8,30.3,30.8
Pancreas,0.0,0.0,0.19,0.09,0.08,0.3,0.69,2.0,3.5,7.3,14.0,22.6,31.4,49.5,72.2,94.3,104.1
Larynx,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,1.0,1.9,3.4,3.1,3.8,4.0,3.5,3.8,3.1
Lung,0.1,0.0,0.29,0.47,1.0,1.1,3.1,8.7,22.0,40.5,63.3,89.9,115.4,131.2,133.9,125.0,81.4
Melanoma of skin,0.1,0.79,2.8,11.5,15.6,20.9,23.7,27.8,31.8,33.7,41.5,44.6,47.7,55.9,53.4,55.9,55.3
Kaposi sarcoma,0.0,0.0,0.0,0.19,0.5,0.52,0.28,0.07,0.15,0.0,0.18,0.3,0.34,0.78,0.3,0.57,0.91
Breast,0.0,0.0,0.19,0.65,6.6,24.7,59.0,115.0,195.0,244.7,285.5,344.8,390.7,354.9,347.5,354.4,334.7
Cervix uteri,0.0,0.2,0.1,0.56,3.4,6.5,8.5,9.3,9.9,7.9,9.4,8.0,9.8,10.2,12.6,12.9,17.0
Uterus,0.0,0.2,0.1,0.75,3.8,8.0,11.3,13.9,22.0,33.3,53.7,66.5,83.1,91.6,95.7,87.3,79.0
Corpus uteri,0.0,0.0,0.0,0.19,0.34,1.5,2.6,4.3,11.8,24.2,42.4,56.2,71.3,79.0,79.9,71.4,54.8
Ovary,0.1,0.89,1.6,0.65,1.3,1.7,3.3,6.4,12.7,20.2,28.4,35.3,47.8,55.6,53.0,54.5,51.7
Multiple myeloma,0.0,0.0,0.0,0.0,0.08,0.37,0.83,0.84,2.8,3.9,6.1,10.0,16.8,23.9,30.6,34.5,25.9
Leukaemia,3.0,2.0,1.6,0.93,1.2,2.1,2.6,3.7,4.8,7.6,9.9,16.6,22.7,29.4,35.5,47.0,49.7
Kidney,0.41,0.3,0.19,0.47,0.25,0.52,1.1,1.9,4.2,5.6,9.3,14.4,18.2,24.3,28.1,31.6,24.1
Bladder,0.0,0.0,0.1,0.09,0.17,0.45,0.55,1.4,3.9,8.2,13.2,25.4,32.9,40.3,53.1,60.4,64.4
Brain and central nervous system,2.7,1.3,1.4,1.2,2.4,2.4,2.9,3.1,5.8,7.0,9.4,12.7,14.9,14.1,19.8,17.4,14.5
Thyroid,0.0,0.3,2.0,5.2,7.2,10.6,13.7,15.9,16.0,16.5,16.8,16.4,17.0,16.4,11.5,11.4,10.0
Hodgkin lymphoma,0.1,1.5,6.0,6.9,4.5,3.9,2.5,2.1,1.0,1.3,1.8,1.6,3.6,3.3,5.3,2.5,2.2
Non-Hodgkin lymphoma,0.31,0.98,1.2,1.7,2.1,3.3,4.6,6.2,10.6,13.6,22.5,31.0,42.0,54.8,70.7,72.0,60.9
